,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
0,2019-10-24,1259.11,1259.11,1262.9,1252.35,1010000.0,10,2019,1259.11,1258.3674999999998,0.0,Slight or No change
1,2019-10-23,1257.63,1240.21,1258.04,1240.21,1180000.0,10,2019,1258.3125570776256,1249.0225,-0.0011754334410812861,Slight or No change
2,2019-10-22,1241.2,1244.48,1248.73,1239.85,1280000.0,10,2019,1252.000144092219,1243.565,-0.013064255782702427,Slight or No change
3,2019-10-21,1244.28,1248.7,1253.51,1239.99,1030000.0,10,2019,1250.233088888889,1246.62,0.0024814695456010227,Slight or No change
4,2019-10-18,1244.41,1254.69,1258.11,1240.14,1580000.0,10,2019,1248.7198519736842,1249.3375,0.0001044780917478505,Slight or No change
5,2019-10-17,1252.8,1251.4,1263.75,1249.87,1060000.0,10,2019,1249.3255882352942,1254.455,0.006742150898819466,Slight or No change
6,2019-10-16,1243.0,1241.81,1254.19,1238.53,1150000.0,10,2019,1248.4480940892643,1244.3825,-0.00782247765006383,Slight or No change
7,2019-10-15,1242.24,1221.5,1247.12,1220.92,1530000.0,10,2019,1247.4808452138493,1232.945,-0.0006114239742558425,Slight or No change
8,2019-10-14,1217.77,1213.89,1225.88,1211.88,683930.0,10,2019,1245.546318006689,1217.355,-0.019698286965481704,Slight or No change
9,2019-10-11,1215.71,1224.03,1228.75,1213.64,1130000.0,10,2019,1242.648325724841,1220.5325,-0.0016916166435368973,Slight or No change
10,2019-10-10,1209.47,1198.6,1215.62,1197.86,668240.0,10,2019,1240.8461164900175,1205.3874999999998,-0.005132803053359725,Slight or No change
11,2019-10-09,1202.4,1201.33,1208.46,1198.12,813220.0,10,2019,1238.4622643245834,1202.5774999999999,-0.005845535647845734,Slight or No change
12,2019-10-08,1190.13,1198.77,1206.87,1189.48,1030000.0,10,2019,1234.9429387878313,1196.3125,-0.010204590818363224,Slight or No change
